Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
دکیمی,کیمیدارو,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Chimidarou,IRO1KIMI0004,KIMI,KIMI1,IRO1KIMI0001,43,4323,1
دلر,داروسازی  اکسیر,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Exir Pharm.,IRO1EXIR0008,EXIR,EXIR1,IRO1EXIR0001,43,4323,3
دلقما,دارویی  لقمان,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Loghman Pharm.,IRO1DLGM0000,DLGM,DLGM1,IRO1DLGM0001,43,4323,1
دیران,ایران دارو,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Iran Darou,IRO1IRDR0007,IRDR,IRDR1,IRO1IRDR0001,43,4323,3
ذوب,ذوب آهن اصفهان,بورس,بازار دوم بورس,فلزات اساسی,تولید آهن و فولاد پایه,-,Esfahan Steel Co.,IRO1ZOBI0002,ZOBI,ZOBI1,IRO1ZOBI0001,27,2710,3
رانفور,خدمات انفورماتیک,بورس,بازار دوم بورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Inf. Services,IRO1INFO0002,INFO,INFO1,IRO1INFO0001,72,7220,1
رتاپ,تجارت الکترونیک پارسیان,بورس,بازار دوم بورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Parsian Ecommerc,IRO1EPRS0006,EPRS,EPRS1,IRO1EPRS0001,72,7220,1
رکیش,کارت اعتباری ایران کیش,بورس,بازار دوم بورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Etebari Iran Co,IRO1RKSH0008,RKSH,RKSH1,IRO1RKSH0001,72,7220,1
رمپنا,گروه مپنا (سهامی عام),بورس,بازار دوم بورس,خدمات فنی و مهندسی,فعالیتهای ساختمانی و مشاوره فنی مرتبط,-,MAPNA,IRO1MAPN0000,MAPN,MAPN1,IRO1MAPN0001,74,7421,1
زپارس,ملی کشت و صنعت و دامپروری پارس,بورس,بازار دوم بورس,زراعت و خدمات وابسته,کشاورزی، دامپروری و خدمات وابسته,-,Pars Agro.,IRO1ZPRS0001,ZPRS,ZPRS1,IRO1ZPRS0001,01,121,1
زکوثر,سرمایه گذاری کشاورزی کوثر,بورس,بازار اول (تابلوی اصلی) بورس,زراعت و خدمات وابسته,پرورش حیوانات,-,Kowsar Agri. Inv.,IRO1KOSR0009,KOSR,KOSR1,IRO1KOSR0001,01,122,1
زمگسا,کشاورزی  ودامپروی  مگسال,بورس,بازار دوم بورس,زراعت و خدمات وابسته,کشاورزی، دامپروری و خدمات وابسته,-,Magsal Agri.,IRO1MAGS0006,MAGS,MAGS1,IRO1MAGS0001,01,121,1
سآبیک,سیمان آبیک,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Abiak Cement,IRO1ABIK0005,ABIK,ABIK1,IRO1ABIK0001,53,5394,1
ساراب,سیمان  داراب,بورس,بازار اول (تابلوی فرعی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Darab Cement,IRO1SDAB0002,SDAB,SDAB1,IRO1SDAB0001,53,5394,3
ساربیل,سیمان  آرتا اردبیل,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Ardebil Cement,IRO1SADB0002,SADB,SADB1,IRO1SADB0001,53,5394,1
ساروم,سیمان ارومیه,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Oroumiyeh Cem.,IRO1SURO0007,SURO,SURO1,IRO1SURO0001,53,5394,1
سبجنو,سیمان  بجنورد,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Bojnourd Cement,IRO1SBOJ0000,SBOJ,SBOJ1,IRO1SBOJ0001,53,5394,1
سبهان,سیمان  بهبهان,بورس,بازار اول (تابلوی فرعی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Behbahan Cement,IRO1SBHN0003,SBHN,SBHN1,IRO1SBHN0001,53,5394,3
سپ,پرداخت الکترونیک سامان کیش,بورس,بازار دوم بورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Saman-E-Kish,IRO1SEPK0003,SEPK,SEPK1,IRO1SEPK0001,72,7220,3
سپاها,سیمان سپاهان,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Sepahan Cement,IRO1SSEP0005,SSEP,SSEP1,IRO1SSEP0001,53,5394,1
سپید,سپید ماکیان,بورس,بازار اول (تابلوی فرعی) بورس,زراعت و خدمات وابسته,پرورش طیور,-,Sepid Makian Co.,IRO1SPID0008,SPID,SPID1,IRO1SPID0001,01,141,3
ستران,سیمان  تهران,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Tehran Cement,IRO1STEH0004,STEH,STEH1,IRO1STEH0001,53,5394,1
سخاش,سیمان خاش,بورس,بازار اول (تابلوی فرعی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Khash Cement,IRO1SKHS0007,SKHS,SKHS1,IRO1SKHS0001,53,5394,3
سخزر,سیمان  خزر,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Khazar Cement,IRO1SKAZ0005,SKAZ,SKAZ1,IRO1SKAZ0001,53,5394,1
سخوز,سیمان خوزستان,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Khoozestan CE.,IRO1KHOC0009,KHOC,KHOC1,IRO1KHOC0001,53,5394,1
سدشت,صنایع سیمان دشتستان,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Dashtestan Ce.,IRO1SDST0002,SDST,SDST1,IRO1SDST0001,53,5394,1
