Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
وتوشه,سرمایه گذاری پارس  توشه,بورس,بازار اول (تابلوی اصلی) بورس,ماشین آلات و تجهیزات,تولید سایر ماشین آلات و تجهیزات,-,Pars Tousheh,IRO1TSHE0004,TSHE,TSHE1,IRO1TSHE0001,29,2999,1
وتوصا,گروه س توسعه صنعتی ایران,بورس,بازار اول (تابلوی اصلی) بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Iran Ind. Dev.,IRO1TOSA0009,TOSA,TOSA1,IRO1TOSA0001,56,5699,1
وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس,بازار اول (تابلوی اصلی) بورس,فلزات اساسی,استخراج سایر فلزات اساسی,-,Tukafoolad Inv.,IRO1TOKA0007,TOKA,TOKA1,IRO1TOKA0001,27,2799,1
وخارزم,سرمایه گذاری خوارزمی,بورس,بازار اول (تابلوی اصلی) بورس,سرمایه گذاریها,سایر واسطه های مالی,-,S*Kharazmy Invest,IRO1IKHR0000,IKHR,IKHR1,IRO1IKHR0001,56,5699,1
وخاور,بانک خاورمیانه,بورس,بازار اول (تابلوی اصلی) بورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,Bank of M.E.,IRO1BKHZ0007,BKHZ,BKHZ1,IRO1BKHZ0001,57,5719,1
ورنا,سرمایه گذاری  رنا(هلدینگ,بورس,بازار دوم بورس,خودرو و ساخت قطعات,سایر قطعات یدکی و وسایل نقلیه موتوری,-,Rena Investment,IRO1RENA0008,RENA,RENA1,IRO1RENA0001,34,3499,1
وساپا,سرمایه گذاری  سایپا,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,S*Saipa Inv.,IRO1SSAP0009,SSAP,SSAP1,IRO1SSAP0001,56,5699,1
وساخت,سرمایه گذاری ساختمان ایران,بورس,بازار اول (تابلوی فرعی) بورس,انبوه سازی، املاک و مستغلات,سایر فعالیت های املاک و مستغلات,-,Iran Const. Inv,IRO1SAKH0007,SAKH,SAKH1,IRO1SAKH0001,70,7099,3
وساربیل,شرکت س استان اردبیل,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Ardebil Inv.,IRO1OS030001,OS03,OS031,IRO1OS030001,56,5699,3
وساشرقی,شرکت س استان آذربایجان شرقی,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,AzarSharghi Inv.,IRO1OS010003,OS01,OS011,IRO1OS010001,56,5699,3
