شیوه سرمایه‌گذاری,تاریخ به‌روز رسانی,درجه‌بندی عملکرد فصل,ضامن نقدشوندگی,ضریب بتا,ضریب آلفا,بازده یک ساله,قیمت آماری,قیمت ابطال,قیمت صدور, دوره تقسیم سود ,کل ارزش خالص دارایی‌ها ,نماد,نوع صندوق,نام صندوق,آدرس سایت
قابل معامله,----,----,----,----,----,----,----,----,----,----,----,صغرب,زمین و ساختمان,زمین و ساختمان مسکن شمال غرب,hicfund.ir
قابل معامله,----,----,----,----,----,----,----,----,----,----,----,نارون,زمین و ساختمان,زمین و ساختمان مسکن نارون,narvanfund.ir
قابل معامله,----,----,----,----,----,----,----,----,----,----,----,نسيم,زمین و ساختمان,زمین و ساختمان نسیم,nasimfund.com
قابل معامله,----,----,----,----,----,----,----,----,----,----,----,نگین,زمین و ساختمان,زمین و ساختمان نگین شهر ری,neginfund.ir
قابل معامله,1405/05/05,3,----,----,----,43.25,42200,41599,41860,ندارد,63892417467237,زیتون,مختلط,زیتون نماد پایا,zeytoon.fund
قابل معامله,1405/05/05,4.5,----,----,----,37.06,28732,28957,28979,ندارد,74055527694602,ساحل,در اوراق بهادار با درآمد ثابت,ساحل سرمایه امن خلیج فارس,sahel.pgibc.ir
قابل معامله,1405/05/05,4,----,----,----,38.53,45079,44653,44694,ندارد,517973114030106,سپر,در اوراق بهادار با درآمد ثابت,سپر سرمایه بیدار,separ.ebb.ir
قابل معامله,1405/05/05,----,----,----,----,73.63,486693,484766,487714,ندارد,5685123593865,صنوین,مختلط,سپهر اندیشه نوین,sepehrnovin.ir
قابل معامله,1405/05/05,----,----,----,----,30.02,11355,11552,11564,ندارد,4590966828567,سخند,در اوراق بهادار با درآمد ثابت,سپهر خبرگان نفت,khobregan-etf.com
قابل معامله,1405/04/27,2,----,----,----,35.494,25891,25668,25685,ندارد,42743524980482,سیناد,در اوراق بهادار با درآمد ثابت,سپهر سودمند سینا,sinaetf.ir
قابل معامله,1405/05/05,4,----,----,----,33.54,33790,33816,33850,ندارد,200808231483931,سپیدما,در اوراق بهادار با درآمد ثابت,سپید دماوند,sepiddamavandfund.ir
قابل معامله,1405/05/05,----,----,----,----,36.76,20615,20780,20798,ندارد,88237442218759,ستاره,در اوراق بهادار با درآمد ثابت,ستاره پایدار سپهر,sepehrati.ir
